url,label,url_length,num_dots,num_hyphens,num_at,num_digits,num_params,num_slashes,num_question,num_percent,num_special,domain_length,path_length,has_https,has_http,has_suspicious_kw
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,benign,85,1,6,0,12,0,7,0,0,0,17,61,0,1,0
en.wikipedia.org/wiki/North_Dakota,benign,34,2,0,0,0,0,2,0,0,1,0,34,0,0,0
soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,benign,81,2,0,0,5,0,6,0,0,6,0,81,0,0,0
perfectpeople.net/celebrity-star/6920/gidget-gein.htm,benign,53,2,2,0,4,0,3,0,0,0,0,53,0,0,0
media.caltech.edu/press_releases/13186,benign,38,2,0,0,5,0,2,0,0,1,0,38,0,0,0
wikiobits.com/Obits/TonyProudfoot,benign,33,1,0,0,0,0,2,0,0,0,0,33,0,0,0
vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,benign,64,3,0,0,9,3,1,1,0,6,0,35,0,0,0
movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,benign,48,2,0,0,10,3,1,1,0,6,0,21,0,0,0
cyndislist.com/us/pa/counties,benign,29,1,0,0,0,0,3,0,0,0,0,29,0,0,0
psychology.wikia.com/wiki/Phonemes,benign,34,2,0,0,0,0,2,0,0,0,0,34,0,0,0
info.centriq.com/content/fivereasons,benign,36,2,0,0,0,0,2,0,0,0,0,36,0,0,0
articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery,benign,99,2,7,0,19,0,3,0,0,2,0,99,0,0,0
infinitysw.com/,benign,15,1,0,0,0,0,1,0,0,0,0,15,0,0,0
strawberrycreekgardens.com/,benign,27,1,0,0,0,0,1,0,0,0,0,27,0,0,0
spoke.com/dir/p/desantis/nick,benign,29,1,0,0,0,0,4,0,0,0,0,29,0,0,0
wordsmith.org/words/pignus.html,benign,31,2,0,0,0,0,2,0,0,0,0,31,0,0,0
http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001008003&free3=item&disp_no=007001008003,benign,129,2,0,0,27,5,4,1,0,12,13,28,0,1,1
almanac.logos.com/Denominations,benign,31,2,0,0,0,0,1,0,0,0,0,31,0,0,0
gaming.wikia.com/wiki/Backbreaker_(video_game),benign,46,2,0,0,0,0,2,0,0,2,0,46,0,0,0
ceu.hu/,benign,7,1,0,0,0,0,1,0,0,0,0,7,0,0,0
registry.weddingchannel.com/coupledir/20108/C/R314763282/JARED_CLOUGH_AND_TAJAI_RITCHIE.htm,benign,91,3,0,0,14,0,5,0,0,4,0,91,0,0,0
linkedin.com/pub/george-cleveland/7/80a/599,benign,43,1,1,0,6,0,5,0,0,0,0,43,0,0,0
sunshinemills.com/,benign,18,1,0,0,0,0,1,0,0,0,0,18,0,0,0
agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html,benign,121,2,0,0,0,0,5,0,0,9,0,121,0,0,0
ctv.ca/generic/WebSpecials/sponsorship_scandal/,benign,47,1,0,0,0,0,4,0,0,1,0,47,0,0,0
veoox.com/tags/game.html,benign,24,2,0,0,0,0,2,0,0,0,0,24,0,0,0
chuckwalkertrio.blogspot.com/,benign,29,2,0,0,0,0,1,0,0,0,0,29,0,0,0
aerosolesshoes.org/,benign,19,1,0,0,0,0,1,0,0,0,0,19,0,0,0
recipelink.com/msgbrd/board_14/2007/DEC/29094.html,benign,50,2,0,0,11,0,5,0,0,1,0,50,0,0,0
ideas.repec.org/f/pma235.html,benign,29,3,0,0,3,0,2,0,0,0,0,29,0,0,0
peopleaz.org/firstname/Fowlkes/6,benign,32,1,0,0,1,0,3,0,0,0,0,32,0,0,0
orensamtraktrip.wordpress.com/,benign,30,2,0,0,0,0,1,0,0,0,0,30,0,0,0
alexa.com/whatshot?q=james+arness,benign,33,1,0,0,0,1,1,1,0,2,0,18,0,0,0
jpopasia.com/group/arashi/discography/,benign,38,1,0,0,0,0,4,0,0,0,0,38,0,0,0
kitsapsun.com/photos/2011/feb/25/177999/,benign,40,1,0,0,12,0,6,0,0,0,0,40,0,0,0
local.yahoo.com/info-42862457-oakland-international-airport-oakland,benign,67,2,5,0,8,0,1,0,0,0,0,67,0,0,0
tripadvisor.com/Restaurant_Review-g680765-d1768647-Reviews-Yacha_Yacha-Miyakojima_Okinawa_Prefecture_Kyushu_Okinawa.html,benign,120,2,5,0,13,0,1,0,0,6,0,120,0,0,0
articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman/,benign,112,2,9,0,0,0,4,0,0,0,0,112,0,0,0
broadwaystars.com/classic/?source=www.playbill.com,benign,50,3,0,0,0,1,2,1,0,2,0,26,0,0,0
forums.networkinfrastructure.info/motorola-wireless-lan-switches/,benign,65,2,3,0,0,0,2,0,0,0,0,65,0,0,0
youtube.com/watch?v=mwpoPQ1SPJU,benign,31,1,0,0,1,1,1,1,0,2,0,17,0,0,0
mccall-idchamber.org/,benign,21,1,1,0,0,0,1,0,0,0,0,21,0,0,0
chacha.com/question/who-said-the-quote-%27say-what-you-mean%2C-mean-what-you-say-and-put-a-beat-to-it%27,benign,104,1,17,0,5,0,2,0,3,0,0,104,0,0,0
friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html,benign,58,2,4,0,4,0,4,0,0,0,0,58,0,0,0
pipl.com/directory/name/Whissell/180,benign,36,1,0,0,3,0,4,0,0,0,0,36,0,0,0
spokeo.com/John+Collet,benign,22,1,0,0,0,0,1,0,0,0,0,22,0,0,0
http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%b,benign,200,1,5,0,25,0,5,0,54,0,10,183,0,1,0
faqs.org/copyright/handbook-for-the-individual-or-group-culture-free/,benign,69,1,7,0,0,0,3,0,0,0,0,69,0,0,1
duckduckgo.com/1/c/Roman_Catholic_cathedrals_in_Canada,benign,54,1,0,0,1,0,3,0,0,4,0,54,0,0,0
http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel/,benign,98,1,4,0,0,0,8,0,0,1,15,76,0,1,0
en.wikipedia.org/wiki/Lloyd_Bacon,benign,33,2,0,0,0,0,2,0,0,1,0,33,0,0,0
http://serverfault.com/questions/682832/squid-transparent-https-certificate-error-ssl-error-bad-cert-domain,benign,107,1,9,0,6,0,5,0,0,0,15,85,0,1,0
ciajfk.com/harold.html,benign,22,2,0,0,0,0,1,0,0,0,0,22,0,0,0
indyweek.com/artery/archives/2011/10/07/come-back-to-the-1980s-at-the-escapism-film-festival-which-begins-friday,benign,112,1,12,0,12,0,6,0,0,0,0,112,0,0,0
linkedin.com/pub/charles-gariepy/2/642/28,benign,41,1,1,0,6,0,5,0,0,0,0,41,0,0,0
eyeappealoptometry.com/,benign,23,1,0,0,0,0,1,0,0,0,0,23,0,0,0
brophygen.com/,benign,14,1,0,0,0,0,1,0,0,0,0,14,0,0,0
icehockey.wikia.com/wiki/Dan_Blackburn,benign,38,2,0,0,0,0,2,0,0,1,0,38,0,0,0
gurufocus.com/news/116068/who-is-the-warren-buffett-of-canada-prem-watsa-of-fairfax-financial-ffh-or-paul-desmarais-of-power-corporation-of-canada-pow,benign,150,1,21,0,6,0,3,0,0,0,0,150,0,0,0
stewstew.com/,benign,13,1,0,0,0,0,1,0,0,0,0,13,0,0,0
livingharvest.com/products/ice-cream-bars,benign,41,1,2,0,0,0,2,0,0,0,0,41,0,0,0
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-readers-digest-magazine-offer-20150202203953555,benign,119,2,7,0,17,1,5,1,0,2,13,42,0,1,1
bleacherreport.com/articles/300242-doug-harvey-one-of-the-best-ever-to-play-the-game,benign,84,1,11,0,6,0,2,0,0,0,0,84,0,0,0
artfacts.net/it/istituzion/ms--muzeum-sztuki-lodz-2724/visione-generale.html,benign,76,2,6,0,4,0,4,0,0,0,0,76,0,0,0
parsippanysoccerclub.org/,benign,25,1,0,0,0,0,1,0,0,0,0,25,0,0,0
international.uiowa.edu/services/language/allnet/resources/languages/turkish.asp,benign,80,3,0,0,0,0,6,0,0,0,0,80,0,0,0
btscene.eu/verified-search/torrent/franco+piersanti/,benign,52,1,1,0,0,0,4,0,0,0,0,52,0,0,0
signature-editions.com/,benign,23,1,1,0,0,0,1,0,0,0,0,23,0,0,0
en.wikipedia.org/wiki/Blessed_by_a_Broken_Heart,benign,47,2,0,0,0,0,2,0,0,4,0,47,0,0,0
national.ca/Bold-Thinking/NATIONAL-Publications.aspx,benign,52,2,2,0,0,0,2,0,0,0,0,52,0,0,0
http://motthegioi.vn/the-gioi-cuoi/clip-dai-gia-mac-ca-voi-co-ban-banh-my-185682.html,benign,85,2,12,0,6,0,4,0,0,0,13,65,0,1,0
metroactive.com/papers/metro/01.29.98/idiotflesh-9804.html,benign,58,4,1,0,10,0,4,0,0,0,0,58,0,0,0
https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FwjfL4fhPp1lPxTZb+%E3%82%A2%E3%83%AA%E3%82%B5%E5%86%8D,benign,200,2,1,0,59,1,3,1,44,2,11,5,1,0,0
http://correios.com.br/para-sua-empresa/comunicacao/certificados-digitais/ajuda-interativa/informacoes-sobre-a-baixa-dos-certificados-a1,benign,136,2,10,0,1,0,7,0,0,0,15,114,0,1,0
http://olx.ro/i2/electronice-si-electrocasnice/electrocasnice/masini-de-cusut/gtm.start,benign,87,2,4,0,1,0,7,0,0,0,6,74,0,1,0
msn.foxsports.com/nhl/player/yann-sauve/720461,benign,46,2,1,0,6,0,4,0,0,0,0,46,0,0,0
hallmark.businessgreetings.com/,benign,31,2,0,0,0,0,1,0,0,0,0,31,0,0,0
musicstack.com/records-cds/toni+tony+tone,benign,41,1,1,0,0,0,2,0,0,0,0,41,0,0,0
nudecelebsnow.com/tags/1/victoria+justus.htm,benign,44,2,0,0,1,0,3,0,0,0,0,44,0,0,0
worldwrestlinginsanity.com/am2/publish/ringofhonorlive/roh_sinclair_tv2.shtml,benign,77,2,0,0,2,0,4,0,0,2,0,77,0,0,0
http://slashdot.org/submission/2916707/facebook-to-include-profile-photos-in-its-facial-recognition-database,benign,108,1,9,0,7,0,5,0,0,0,12,89,0,1,0
facebook.com/people/Yui-Takeshita/100001611015714,benign,49,1,1,0,15,0,3,0,0,0,0,49,0,0,0
sportsposterwarehouse.com/items_388__grandprixclassicscoll.html,benign,63,2,0,0,3,0,1,0,0,3,0,63,0,0,0
padmapper.com/search/apartments/Quebec/Montreal-est/,benign,52,1,1,0,0,0,5,0,0,0,0,52,0,0,0
mrskin.com/christina-ricci-nude-c868.html,benign,41,2,3,0,3,0,1,0,0,0,0,41,0,0,0
lip-service.com/webzine/tag/post-apocalyptic-fashion/,benign,53,1,3,0,0,0,4,0,0,0,0,53,0,0,0
linkedin.com/pub/dir/elizabeth/scarborough,benign,42,1,0,0,0,0,4,0,0,0,0,42,0,0,0
cqgcr.ca/ang/producer01.php,benign,27,2,0,0,2,0,2,0,0,0,0,27,0,0,0
huffingtonpost.com/2011/10/24/south-carolina-primary-case_n_1029599.html,benign,72,2,3,0,15,0,4,0,0,2,0,72,0,0,0
http://qz.com/403774/quartz-daily-brief-japanese-military-verizon-aol-sporty-branson-saucy-swedes/,benign,98,1,10,0,6,0,5,0,0,0,6,85,0,1,0
select.nytimes.com/gst/abstract.html?res=F70814F93B581A7A93CBA9178BD95F4C8385F9,benign,79,3,0,0,25,1,2,1,0,2,0,36,0,0,0
startrekcostumes.net/,benign,21,1,0,0,0,0,1,0,0,0,0,21,0,0,0
en.wikipedia.org/wiki/Neil_Curtis,benign,33,2,0,0,0,0,2,0,0,1,0,33,0,0,0
music.carowinds.com/,benign,20,2,0,0,0,0,1,0,0,0,0,20,0,0,0
newjersey.craigslist.org/,benign,25,2,0,0,0,0,1,0,0,0,0,25,0,0,0
familypedia.wikia.com/wiki/Joseph_Philippe_Roi_de_Villere_%281727-1769%29,benign,73,2,1,0,12,0,2,0,2,5,0,73,0,0,0
http://mylust.com/videos/232790/hentai-slut-with-big-juicy-tits-gets-fucked-doggy-style/,benign,88,1,9,0,6,0,6,0,0,0,10,71,0,1,0
acronymfinder.com/John-Burroughs-High-school-(Burbank%2c-CA)-(JBHS).html,benign,72,2,6,0,1,0,1,0,1,0,0,72,0,0,1
youtube.com/watch?v=K_-bsYE-y08,benign,31,1,2,0,2,1,1,1,0,3,0,17,0,0,0
myspace.com/jking909,benign,20,1,0,0,3,0,1,0,0,0,0,20,0,0,0
movies.msn.com/celebrities/celebrity/george-'gabby'-hayes/,benign,58,2,2,0,0,0,4,0,0,0,0,58,0,0,0
idlebrain.com/news/functions/engagement-brahmini.html,benign,53,2,1,0,0,0,3,0,0,0,0,53,0,0,0
vh1.com/video/that-metal-show/full-episodes/carmine-appice-dave-meniketti/1663564/playlist.jhtml,benign,96,2,6,0,8,0,6,0,0,0,0,96,0,0,0
archiver.rootsweb.ancestry.com/th/read/GEN-OBIT/2007-04/1176208149,benign,66,3,2,0,16,0,5,0,0,0,0,66,0,0,0
perezhilton.com/category/william-shatner/,benign,41,1,1,0,0,0,3,0,0,0,0,41,0,0,0
fsnaindia.com/,benign,14,1,0,0,0,0,1,0,0,0,0,14,0,0,0
actionjaxon666.wordpress.com/2011/02/24/new-macbook-pros-secretly-16gb-capable/,benign,79,2,5,0,13,0,5,0,0,0,0,79,0,0,0
en.wikipedia.org/wiki/Kenji_Nojima,benign,34,2,0,0,0,0,2,0,0,1,0,34,0,0,0
alaskajewelry.com/colored-stone-tanzanite-rings-c-21_72_91.html?=&infoBox=0,benign,75,2,5,0,7,2,1,1,0,6,0,63,0,0,0
greenparty.ca/campaign/24048,benign,28,1,0,0,5,0,2,0,0,0,0,28,0,0,0
http://mic.com/articles/117758/mtv-just-gave-these-artists-a-huge-platform-to-bring-attention-to-indigenous-rights,benign,114,1,13,0,6,0,5,0,0,0,7,100,0,1,0
randomhouse.com/book/84548/tapestry-of-spies-by-stephen-hunter,benign,62,1,5,0,5,0,3,0,0,0,0,62,0,0,0
argentinawarez.com/musica-mp3-gratis/65991-ost-boat-rocked-soundtrack-2cd-2009-a.html,benign,85,2,9,0,11,0,2,0,0,0,0,85,0,0,0
192.com/atoz/people/gerrard/steven/,benign,35,1,0,0,3,0,5,0,0,0,0,35,0,0,0
users6.nofeehost.com/aldenh/493.html,benign,36,3,0,0,4,0,2,0,0,0,0,36,0,0,0
facebook.com/opalhilldrive,benign,26,1,0,0,0,0,1,0,0,0,0,26,0,0,0
scottss.com/,benign,12,1,0,0,0,0,1,0,0,0,0,12,0,0,0
manta.com/ic/mt6fkz0/ca/residence-sault-au-recollet,benign,51,1,3,0,2,0,4,0,0,0,0,51,0,0,0
forum.exscn.net/archive/index.php/t-10778.html?pda=1,benign,52,4,1,0,6,1,3,1,0,2,0,46,0,0,0
superpages.com/bp/Kansas-City-KS/Kansas-City-Terminal-Railway-L2170949422.htm,benign,77,2,6,0,10,0,3,0,0,0,0,77,0,0,0
maxlapointe.com/?p=141,benign,22,1,0,0,3,1,1,1,0,2,0,16,0,0,0
ca.ratemyteachers.com/louise-trichet/106184-s,benign,45,2,2,0,6,0,2,0,0,0,0,45,0,0,0
cardomain.com/ride/2424103/2006-pontiac-gto,benign,43,1,2,0,11,0,3,0,0,0,0,43,0,0,0
apps.facebook.com/ilike/artist/Les+Respectables,benign,47,2,0,0,0,0,3,0,0,0,0,47,0,0,0
cbssports.com/nba/players/playerpage/20626/paul-pierce,benign,54,1,1,0,5,0,5,0,0,0,0,54,0,0,0
home.comcast.net/~jcage89/350z/navbox/index.htm,benign,47,3,0,0,5,0,4,0,0,0,0,47,0,0,0
margaritawill.com/hotdogs/,benign,26,1,0,0,0,0,2,0,0,0,0,26,0,0,0
pipl.com/directory/name/Pallas/Tony,benign,35,1,0,0,0,0,4,0,0,0,0,35,0,0,0
newyorker.com/archive/1982/04/12/1982_04_12_039_TNY_CARDS_000335949,benign,67,1,0,0,28,0,5,0,0,6,0,67,0,0,0
youtube.com/watch?v=eMY1FT3Pqh8,benign,31,1,0,0,3,1,1,1,0,2,0,17,0,0,0
law.cornell.edu/wex/Joint_venture,benign,33,2,0,0,0,0,2,0,0,1,0,33,0,0,0
pitchfork.com/reviews/albums/13979-broken-bells/,benign,48,1,2,0,5,0,4,0,0,0,0,48,0,0,0
http://skyrock.com/videos/eDJwODRhNzoxMw==-bug-1187-moi-ma-famille.html?top=3&period=recent,benign,91,2,5,0,5,4,4,1,0,6,11,53,0,1,0
hollywood.com/movie/Biutiful/6870447,benign,36,1,0,0,7,0,3,0,0,0,0,36,0,0,0
facebook.com/pages/The-Paul-Lynde-Halloween-Special-1976/280289980245,benign,69,1,5,0,16,0,3,0,0,0,0,69,0,0,0
hot-people.info/Crossett_AR_Dorothy-Moore_Eric--Newton_1051.html,benign,64,2,4,0,4,0,1,0,0,4,0,64,0,0,0
onlineradio7.com/listen/CFLO_1047,benign,33,1,0,0,5,0,2,0,0,1,0,33,0,0,0
artistswithaids.org/artforms/music/catalogue/rileyl.html,benign,56,2,0,0,0,0,4,0,0,0,0,56,0,0,0
mylife.com/dominicbouchard,benign,26,1,0,0,0,0,1,0,0,0,0,26,0,0,0
mmagearguide.com/ufc-117-t-shirts-silva-vs-sonnen/,benign,50,1,6,0,3,0,2,0,0,0,0,50,0,0,0
worldtraveltours.org/4-alternative-places-you-can-choose-at-montreal-travel/.html,benign,81,2,8,0,1,0,2,0,0,0,0,81,0,0,0
iptv.org/,benign,9,1,0,0,0,0,1,0,0,0,0,9,0,0,0
elliscountydivorcelawyer.com/ellis-county-post-divorce-modification.htm,benign,71,2,4,0,0,0,1,0,0,0,0,71,0,0,0
http://grantland.com/the-triangle/2015-mlb-over-under-bets-chicago-cubs-houston-astros-oakland-as-tampa-bay-rays/,benign,113,1,14,0,4,0,5,0,0,0,13,93,0,1,0
fanpix.net/gallery/doug-savant-pictures.htm,benign,43,2,2,0,0,0,2,0,0,0,0,43,0,0,0
chacha.com/question/what-time-does-metro-center-mall-close,benign,58,1,6,0,0,0,2,0,0,0,0,58,0,0,0
marcospecialties.com/storeitems.asp?game=Chicago%20Coin&Chicago%20Coin=RED%20BARON%20(Blue%20Max),benign,97,2,0,0,10,2,1,1,5,4,0,35,0,0,0
hdlns.com/g508zf1457/Kansas+City+Star+Obituaries+Obituaries+from+Kansas+City+Star+Kansas+City%2C+MO,benign,99,1,0,0,8,0,2,0,1,0,0,99,0,0,0
familytreemaker.genealogy.com/users/v/e/r/James-R-Verrier/GENE7-0008.html,benign,73,3,3,0,5,0,6,0,0,0,0,73,0,0,0
therainmakersmessageboard.yuku.com/,benign,35,2,0,0,0,0,1,0,0,0,0,35,0,0,0
tumblr.com/tagged/sebastien+lefebvre,benign,36,1,0,0,0,0,2,0,0,0,0,36,0,0,0
ussoccer.com/News/Soccer-Wire/2002/10/U-S-Soccer-Wire-Galaxy-Claims-2002-MLS-Cup-With-1-0-Double-OT-Win-Over-Revs-Will-Go-For-Rare-Double.aspx,benign,142,2,22,0,12,0,5,0,0,0,0,142,0,0,0
filmannex.com/movie/1984-olympics-fencing-men-saber/21938,benign,57,1,4,0,9,0,3,0,0,0,0,57,0,0,0
allaboutjazz.com/php/musician.php?id=3751,benign,41,2,0,0,4,1,2,1,0,2,0,33,0,0,0
skiracing.com/?q=node/514,benign,25,1,0,0,3,1,2,1,0,2,0,14,0,0,0
ertx.com/movie/2008/mad-about-mambo,benign,35,1,2,0,4,0,3,0,0,0,0,35,0,0,0
classicbikepictures.co.uk/c319/p2499/for_sale/yamaha%C2%A0yfu1wyfu1-t_for_sale.html,benign,83,3,1,0,11,0,4,0,2,3,0,83,0,0,0
http://thenextweb.com/dd/2011/05/09/squarespace-to-begin-version-6-beta-testing/gtm.js/gtm.js,benign,93,3,6,0,9,0,9,0,0,0,14,72,0,1,0
mtlasm.blogspot.com/,benign,20,2,0,0,0,0,1,0,0,0,0,20,0,0,0
medicinenet.com/heel_spurs/city.htm,benign,35,2,0,0,0,0,2,0,0,1,0,35,0,0,0
music.yahoo.com/nothingface/,benign,28,2,0,0,0,0,2,0,0,0,0,28,0,0,0
espn.go.com/college-football/team/_/id/2306/kansas-state-wildcats,benign,65,2,3,0,4,0,6,0,0,1,0,65,0,0,0
bleacherreport.com/articles/811265-mlb-power-rankings-comparing-every-mlb-team-to-a-classic-80s-rock-band,benign,105,1,13,0,8,0,2,0,0,0,0,105,0,0,0
famoushookups.com/site/relationship_detail.php?name=Martin-Brodeur&celebid=12150&relid=11371,benign,92,2,1,0,10,3,2,1,0,7,0,46,0,0,0
genealogybuff.com/ar/clark/webbbs_config.pl/noframes/read/10,benign,60,2,0,0,2,0,6,0,0,1,0,60,0,0,0
microlabsltd.com/,benign,17,1,0,0,0,0,1,0,0,0,0,17,0,0,0
tripadvisor.com/ShowUserReviews-g57417-d1013388-r21219909-Mulligan_s-Stratton_Mountain_Vermont.html,benign,99,2,5,0,20,0,1,0,0,3,0,99,0,0,0
flickr.com/people/sleepingelf/,benign,30,1,0,0,0,0,3,0,0,0,0,30,0,0,0
subscene.com/Taking-Woodstock/subtitles-80048.aspx,benign,50,2,2,0,5,0,2,0,0,0,0,50,0,0,0
http://thenextweb.com/insider/2014/10/29/unbabel-integrates-mailchimp-offer-translation-service-promotional-emails/gtm.js/gtm.start,benign,131,3,7,0,8,0,9,0,0,0,14,110,0,1,0
tabs.ultimate-guitar.com/a/audioslave/audioslave_album_btab.htm,benign,63,3,1,0,0,0,3,0,0,2,0,63,0,0,0
sunjournal.com/section/news/5974,benign,32,1,0,0,4,0,3,0,0,0,0,32,0,0,0
ethicalsuperstore.com/products/green-and-blacks/organic-hot-chocolate-drink/?_$ja=tsid:6494%7Ccc:%7Cprd:12744%7Ccat:Groceries+%26+Everyday+%3E+Drinks+%3E+Chocolate,benign,163,1,5,0,16,1,4,1,6,3,0,76,0,0,0
lilliputreview.blogspot.com/2011/04/r-h-blyth-on-waka-and-haiku.html,benign,68,3,6,0,6,0,3,0,0,0,0,68,0,0,0
basketball.wikia.com/wiki/Golden_State_Warriors,benign,47,2,0,0,0,0,2,0,0,2,0,47,0,0,0
ech.cwru.edu/ech-cgi/article.pl?id=PGS,benign,38,3,1,0,0,1,2,1,0,2,0,31,0,0,0
filmaffinity.com/es/search.php?stype=cast&stext=Elliott+Gould,benign,61,2,0,0,0,2,2,1,0,4,0,30,0,0,0
chicopeemasoniclodge.org/westover.htm,benign,37,2,0,0,0,0,1,0,0,0,0,37,0,0,0
filmcritic.com/features/2008/10/american-science-fiction-movies/,benign,64,1,3,0,6,0,5,0,0,0,0,64,0,0,0
geographic.org/geographic_names/v/ve_014.html,benign,45,2,0,0,3,0,3,0,0,2,0,45,0,0,0
paperbackswap.com/Sadie-Rose-Adventure-Hilda-Stahl/book/0891076352/,benign,67,1,4,0,10,0,4,0,0,0,0,67,0,0,0
baseball-almanac.com/players/player.php?p=hengeda01,benign,51,2,1,0,2,1,2,1,0,2,0,39,0,0,0
biographi.ca/EN/ShowBio.asp?BioId=41243,benign,39,2,0,0,5,1,2,1,0,2,0,27,0,0,0
deborahfrances-white.com/stand-up.html,benign,38,2,2,0,0,0,1,0,0,0,0,38,0,0,0
spcmoray.com/,benign,13,1,0,0,0,0,1,0,0,0,0,13,0,0,0
edu.gov.on.ca/eng/sift/indexSec.asp,benign,35,4,0,0,0,0,3,0,0,0,0,35,0,0,0
benoitglazer.com/,benign,17,1,0,0,0,0,1,0,0,0,0,17,0,0,0
judgepedia.org/index.php/Alan_Gold,benign,34,2,0,0,0,0,2,0,0,1,0,34,0,0,0
sbnation.com/ncaa-football/players/36729/brandon-smith,benign,54,1,2,0,5,0,4,0,0,0,0,54,0,0,0
isearch.com/searching.php?qloc=&showForm=name&qname=Robin+Kelly&refer=3338,benign,74,2,0,0,4,4,1,1,0,8,0,25,0,0,0
ratemyteachers.com/amelia-high-school/15131-s,benign,45,1,3,0,5,0,2,0,0,0,0,45,0,0,0
carfloormatsforsale.com/door-sill/,benign,34,1,1,0,0,0,2,0,0,0,0,34,0,0,0
facebook.com/pages/Liberman-Broadcasting/106123536086051?sk=info,benign,64,1,1,0,15,1,3,1,0,2,0,56,0,0,0
thefreelibrary.com/No+Catholic+schools+in+Quebec.-a030534573,benign,60,2,1,0,9,0,1,0,0,0,0,60,0,0,1
cngzhz.en.ec21.com/,benign,19,3,0,0,2,0,1,0,0,0,0,19,0,0,0
atlasshrugs2000.typepad.com/atlas_shrugs/2007/08/your-black-musl.html,benign,69,3,2,0,10,0,4,0,0,1,0,69,0,0,0
rotoworld.com/player/nhl/1413/player?r=1,benign,40,1,0,0,5,1,4,1,0,2,0,36,0,0,0
facebook.com/topic.php?uid=34012632110&topic=5794,benign,49,2,0,0,15,2,1,1,0,4,0,22,0,0,0
tomdegan.blogspot.com/,benign,22,2,0,0,0,0,1,0,0,0,0,22,0,0,0
http://codecanyon.net/item/hide-my-joomla-hide-your-source-links/full_screen_preview/8988449,benign,92,1,6,0,7,0,6,0,0,2,14,71,0,1,0
